,Time,ETHUSDT,BUSDUSDT
534,2023-06-04 19:48:00,1901.92,0.9997
535,2023-06-04 19:49:00,1901.91,0.9998
536,2023-06-04 19:50:00,1901.92,0.9998
537,2023-06-04 19:51:00,1901.91,0.9998
538,2023-06-04 19:52:00,1901.92,0.9997
539,2023-06-04 19:53:00,1901.92,0.9997
540,2023-06-04 19:54:00,1902.05,0.9998
541,2023-06-04 19:55:00,1902.05,0.9997
542,2023-06-04 19:56:00,1902.18,0.9998
543,2023-06-04 19:57:00,1902.21,0.9998
544,2023-06-04 19:58:00,1903.15,0.9998
545,2023-06-04 19:59:00,1903.16,0.9998
546,2023-06-04 20:00:00,1902.85,0.9997
547,2023-06-04 20:01:00,1902.62,0.9997
548,2023-06-04 20:02:00,1902.62,0.9998
549,2023-06-04 20:03:00,1902.62,0.9997
550,2023-06-04 20:04:00,1902.96,0.9998
551,2023-06-04 20:05:00,1903.57,0.9997
552,2023-06-04 20:06:00,1903.57,0.9998
553,2023-06-04 20:07:00,1904.08,0.9998
