,Time,BTCUSDT,MDTUSDT
437,2023-06-04 17:53:00,27183.17,0.05032
438,2023-06-04 17:54:00,27189.5,0.05027
439,2023-06-04 17:55:00,27183.28,0.05028
440,2023-06-04 17:56:00,27183.18,0.05024
441,2023-06-04 17:57:00,27173.49,0.05023
442,2023-06-04 17:58:00,27170.67,0.05022
443,2023-06-04 17:59:00,27170.66,0.05019
444,2023-06-04 18:00:00,27174.53,0.05017
445,2023-06-04 18:01:00,27177.01,0.05031
446,2023-06-04 18:02:00,27179.99,0.05034
447,2023-06-04 18:03:00,27179.98,0.0502
448,2023-06-04 18:04:00,27187.46,0.05017
449,2023-06-04 18:05:00,27196.68,0.05005
450,2023-06-04 18:06:00,27196.13,0.05005
451,2023-06-04 18:07:00,27198.71,0.05005
452,2023-06-04 18:08:00,27201.43,0.05005
453,2023-06-04 18:09:00,27206.74,0.05005
454,2023-06-04 18:10:00,27202.2,0.05005
455,2023-06-04 18:11:00,27194.33,0.05004
456,2023-06-04 18:12:00,27190.15,0.05004
457,2023-06-04 18:13:00,27190.16,0.05032
458,2023-06-04 18:14:00,27190.78,0.05035
459,2023-06-04 18:15:00,27190.8,0.05035
460,2023-06-04 18:16:00,27190.8,0.05035
461,2023-06-04 18:17:00,27191.36,0.0503
462,2023-06-04 18:18:00,27192.03,0.05018
463,2023-06-04 18:19:00,27192.44,0.05013
464,2023-06-04 18:20:00,27192.51,0.05013
465,2023-06-04 18:21:00,27193.15,0.05013
466,2023-06-04 18:22:00,27193.15,0.05022
467,2023-06-04 18:23:00,27193.36,0.05022
468,2023-06-04 18:24:00,27195.13,0.05022
469,2023-06-04 18:25:00,27195.29,0.05022
470,2023-06-04 18:26:00,27195.28,0.05017
471,2023-06-04 18:27:00,27195.29,0.05024
472,2023-06-04 18:28:00,27195.3,0.05027
473,2023-06-04 18:29:00,27202.31,0.05015
474,2023-06-04 18:30:00,27202.32,0.05015
475,2023-06-04 18:31:00,27202.41,0.05013
476,2023-06-04 18:32:00,27191.89,0.05007
477,2023-06-04 18:33:00,27191.87,0.05011
478,2023-06-04 18:34:00,27191.87,0.05007
479,2023-06-04 18:35:00,27191.88,0.05
480,2023-06-04 18:36:00,27196.94,0.05003
481,2023-06-04 18:37:00,27198.12,0.05004
482,2023-06-04 18:38:00,27198.24,0.05001
483,2023-06-04 18:39:00,27198.23,0.05002
484,2023-06-04 18:40:00,27190.15,0.04982
485,2023-06-04 18:41:00,27187.56,0.04968
486,2023-06-04 18:42:00,27187.56,0.04972
487,2023-06-04 18:43:00,27190.15,0.04977
488,2023-06-04 18:44:00,27191.44,0.04977
489,2023-06-04 18:45:00,27195.22,0.04978
490,2023-06-04 18:46:00,27193.42,0.04973
491,2023-06-04 18:47:00,27193.43,0.04972
492,2023-06-04 18:48:00,27190.17,0.04971
