,Time,BTCUSDT,BUSDUSDT
433,2023-06-04 17:47:00,27188.64,0.9998
434,2023-06-04 17:48:00,27193.89,0.9999
435,2023-06-04 17:49:00,27190.92,0.9999
436,2023-06-04 17:50:00,27190.91,0.9999
437,2023-06-04 17:51:00,27189.66,0.9998
438,2023-06-04 17:52:00,27181.82,0.9999
439,2023-06-04 17:53:00,27183.17,0.9999
440,2023-06-04 17:54:00,27189.5,0.9998
441,2023-06-04 17:55:00,27183.28,0.9998
442,2023-06-04 17:56:00,27183.18,0.9998
443,2023-06-04 17:57:00,27173.49,0.9998
444,2023-06-04 17:58:00,27170.67,0.9998
445,2023-06-04 17:59:00,27170.66,0.9998
446,2023-06-04 18:00:00,27174.53,0.9998
447,2023-06-04 18:01:00,27177.01,0.9999
448,2023-06-04 18:02:00,27179.99,0.9998
449,2023-06-04 18:03:00,27179.98,0.9999
450,2023-06-04 18:04:00,27187.46,0.9998
451,2023-06-04 18:05:00,27196.68,0.9998
452,2023-06-04 18:06:00,27196.13,0.9998
453,2023-06-04 18:07:00,27198.71,0.9999
454,2023-06-04 18:08:00,27201.43,0.9998
455,2023-06-04 18:09:00,27206.74,0.9999
456,2023-06-04 18:10:00,27202.2,0.9999
457,2023-06-04 18:11:00,27194.33,0.9998
458,2023-06-04 18:12:00,27190.15,0.9998
459,2023-06-04 18:13:00,27190.16,0.9998
460,2023-06-04 18:14:00,27190.78,0.9998
461,2023-06-04 18:15:00,27190.8,0.9997
462,2023-06-04 18:16:00,27190.8,0.9998
463,2023-06-04 18:17:00,27191.36,0.9998
464,2023-06-04 18:18:00,27192.03,0.9997
465,2023-06-04 18:19:00,27192.44,0.9997
466,2023-06-04 18:20:00,27192.51,0.9997
467,2023-06-04 18:21:00,27193.15,0.9997
468,2023-06-04 18:22:00,27193.15,0.9998
469,2023-06-04 18:23:00,27193.36,0.9997
470,2023-06-04 18:24:00,27195.13,0.9997
471,2023-06-04 18:25:00,27195.29,0.9997
472,2023-06-04 18:26:00,27195.28,0.9998
473,2023-06-04 18:27:00,27195.29,0.9997
474,2023-06-04 18:28:00,27195.3,0.9997
475,2023-06-04 18:29:00,27202.31,0.9998
476,2023-06-04 18:30:00,27202.32,0.9998
477,2023-06-04 18:31:00,27202.41,0.9998
478,2023-06-04 18:32:00,27191.89,0.9997
479,2023-06-04 18:33:00,27191.87,0.9998
480,2023-06-04 18:34:00,27191.87,0.9998
481,2023-06-04 18:35:00,27191.88,0.9997
482,2023-06-04 18:36:00,27196.94,0.9997
483,2023-06-04 18:37:00,27198.12,0.9998
484,2023-06-04 18:38:00,27198.24,0.9998
485,2023-06-04 18:39:00,27198.23,0.9998
486,2023-06-04 18:40:00,27190.15,0.9997
487,2023-06-04 18:41:00,27187.56,0.9997
488,2023-06-04 18:42:00,27187.56,0.9998
489,2023-06-04 18:43:00,27190.15,0.9998
490,2023-06-04 18:44:00,27191.44,0.9997
491,2023-06-04 18:45:00,27195.22,0.9997
492,2023-06-04 18:46:00,27193.42,0.9997
493,2023-06-04 18:47:00,27193.43,0.9997
494,2023-06-04 18:48:00,27190.17,0.9997
495,2023-06-04 18:49:00,27190.17,0.9997
496,2023-06-04 18:50:00,27190.17,0.9997
497,2023-06-04 18:51:00,27181.95,0.9998
498,2023-06-04 18:52:00,27191.75,0.9998
499,2023-06-04 18:53:00,27191.75,0.9997
500,2023-06-04 18:54:00,27193.64,0.9997
501,2023-06-04 18:55:00,27187.34,0.9997
502,2023-06-04 18:56:00,27187.34,0.9998
503,2023-06-04 18:57:00,27187.34,0.9997
504,2023-06-04 18:58:00,27179.06,0.9997
505,2023-06-04 18:59:00,27176.76,0.9997
506,2023-06-04 19:00:00,27186.92,0.9997
507,2023-06-04 19:01:00,27188.3,0.9997
508,2023-06-04 19:02:00,27189.64,0.9997
509,2023-06-04 19:03:00,27189.63,0.9998
510,2023-06-04 19:04:00,27198.82,0.9998
511,2023-06-04 19:05:00,27191.84,0.9997
512,2023-06-04 19:06:00,27191.85,0.9998
513,2023-06-04 19:07:00,27192.16,0.9998
514,2023-06-04 19:08:00,27192.16,0.9997
515,2023-06-04 19:09:00,27192.17,0.9997
516,2023-06-04 19:10:00,27190.3,0.9998
517,2023-06-04 19:11:00,27201.86,0.9998
518,2023-06-04 19:12:00,27198.41,0.9998
519,2023-06-04 19:13:00,27209.02,0.9997
520,2023-06-04 19:14:00,27206.23,0.9997
521,2023-06-04 19:15:00,27206.24,0.9998
522,2023-06-04 19:16:00,27197.95,0.9998
523,2023-06-04 19:17:00,27200.51,0.9998
524,2023-06-04 19:18:00,27200.52,0.9998
525,2023-06-04 19:19:00,27199.96,0.9998
526,2023-06-04 19:20:00,27199.96,0.9997
527,2023-06-04 19:21:00,27194.21,0.9998
528,2023-06-04 19:22:00,27201.99,0.9998
529,2023-06-04 19:23:00,27201.99,0.9997
530,2023-06-04 19:24:00,27195.27,0.9998
531,2023-06-04 19:25:00,27195.26,0.9997
532,2023-06-04 19:26:00,27197.49,0.9998
533,2023-06-04 19:27:00,27197.55,0.9997
534,2023-06-04 19:28:00,27197.56,0.9998
535,2023-06-04 19:29:00,27197.56,0.9997
536,2023-06-04 19:30:00,27186.88,0.9998
537,2023-06-04 19:31:00,27188.93,0.9997
538,2023-06-04 19:32:00,27195.47,0.9997
539,2023-06-04 19:33:00,27195.47,0.9998
540,2023-06-04 19:34:00,27191.92,0.9997
541,2023-06-04 19:35:00,27191.92,0.9997
542,2023-06-04 19:36:00,27191.92,0.9998
543,2023-06-04 19:37:00,27191.91,0.9998
544,2023-06-04 19:38:00,27195.88,0.9997
545,2023-06-04 19:39:00,27195.89,0.9998
546,2023-06-04 19:40:00,27195.89,0.9998
547,2023-06-04 19:41:00,27196.07,0.9997
548,2023-06-04 19:42:00,27196.07,0.9997
549,2023-06-04 19:43:00,27193.2,0.9998
550,2023-06-04 19:44:00,27187.76,0.9998
551,2023-06-04 19:45:00,27187.76,0.9998
